block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;nb_threads;
197;octree;;31.61;0.25;0.25;0.25;0.25;0;1;
232;octree;;22.58;0.18;0.18;0.18;0.18;0;1;
191;octree;;18.06;0.14;0.14;0.14;0.14;0;1;
128;octree;;7.1;0.06;0.06;0.06;0.06;0;1;
129;octree;;5.16;0.04;0.04;0.04;0.04;0;1;
190;octree;;3.87;0.03;0.03;0.03;0.03;0;1;
130;octree;;3.87;0.03;0.03;0.03;0.03;0;1;
18;octree;;3.23;0.03;0.03;0.03;0.03;0;1;
231;octree;;1.94;0.02;0.02;0.02;0.02;0;1;
133;octree;;1.29;0.01;0.01;0.01;0.01;0;1;
195;octree;;0.65;0.01;0.01;0.01;0.01;0;1;
17;octree;;0.65;0.01;0.01;0.01;0.01;0;1;
